Timestep,Actual_Thong_Dong_Pct,Emit_Events,Refuse_Events,Avg_Hardware_Temp_C,Energy_mJ_per_Accepted_Output,Total_Energy_mJ,Avg_Mortar_Saturation
50,98.52,37,104,25.016,80.787122,2989.1235,0.074476
100,98.36,82,220,25.031,81.29228,6665.967,0.041341
150,98.413,119,332,25.038,84.378643,10041.0585,0.014492
200,98.42,158,450,25.043,84.723532,13386.318,0.181009
250,98.408,199,562,25.047,84.327354,16781.1435,0.037022
300,98.433,235,671,25.048,84.21277,19790.001,0.047116
350,98.383,283,779,25.051,82.222357,23268.927,0.116139
400,98.365,327,893,25.053,82.14578,26861.67,0.043495
450,98.382,364,1002,25.053,82.741788,30118.011,0.067465
500,98.38,405,1108,25.054,83.016878,33621.8355,0.058794
550,98.396,441,1206,25.051,83.01831,36611.0745,0.01225
600,98.417,475,1300,25.049,83.014974,39432.1125,0.040598
650,98.418,514,1425,25.052,83.696122,43019.8065,0.032418
700,98.431,549,1546,25.053,84.570915,46429.4325,0.009804
750,98.421,592,1643,25.053,84.112791,49794.7725,0.066484
800,98.42,632,1757,25.054,84.387866,53333.1315,0.080235
850,98.445,661,1886,25.055,85.858736,56752.6245,0.074471
900,98.449,698,2003,25.056,86.376767,60290.9835,0.044691
950,98.465,729,2110,25.053,86.688623,63196.0065,0.093825
1000,98.478,761,2240,25.053,87.47166,66565.9335,0.022486
