step,global_C,entropy,scatter,status
0,0.08,0.035,0.025,FAIL
1,0.0,0.035,0.025,FAIL
2,0.0,0.035,0.025,FAIL
3,0.0,0.035,0.025,FAIL
4,0.0,0.035,0.025,FAIL
5,0.0,0.035,0.025,FAIL
6,0.0,0.035,0.025,FAIL
7,0.0,0.035,0.025,FAIL
8,0.0,0.035,0.025,FAIL
9,0.0,0.035,0.025,FAIL
10,0.0,0.035,0.025,FAIL
11,0.0,0.035,0.025,FAIL
12,0.0,0.035,0.025,FAIL
13,0.0,0.035,0.025,FAIL
14,0.0,0.035,0.025,FAIL
15,0.0,0.035,0.025,FAIL
16,0.0,0.035,0.025,FAIL
17,0.0,0.035,0.025,FAIL
18,0.0,0.035,0.025,FAIL
19,0.0,0.035,0.025,FAIL
20,0.0,0.035,0.025,FAIL
21,0.0,0.035,0.025,FAIL
22,0.0,0.035,0.025,FAIL
23,0.0,0.035,0.025,FAIL
24,0.0,0.035,0.025,FAIL
25,0.0,0.035,0.025,FAIL
26,0.0,0.035,0.025,FAIL
27,0.0,0.035,0.025,FAIL
28,0.0,0.035,0.025,FAIL
29,0.0,0.035,0.025,FAIL
30,0.0,0.035,0.025,FAIL
31,0.0,0.035,0.025,FAIL
32,0.0,0.035,0.025,FAIL
33,0.0,0.035,0.025,FAIL
34,0.0,0.035,0.025,FAIL
35,0.0,0.035,0.025,FAIL
36,0.0,0.035,0.025,FAIL
37,0.0,0.035,0.025,FAIL
38,0.0,0.035,0.025,FAIL
39,0.0,0.035,0.025,FAIL
40,0.0,0.035,0.025,FAIL
41,0.0,0.035,0.025,FAIL
42,0.0,0.035,0.025,FAIL
43,0.0,0.035,0.025,FAIL
44,0.0,0.035,0.025,FAIL
45,0.0,0.035,0.025,FAIL
46,0.0,0.035,0.025,FAIL
47,0.0,0.035,0.025,FAIL
48,0.0,0.035,0.025,FAIL
49,0.0,0.035,0.025,FAIL
50,0.0,0.035,0.025,FAIL
51,0.0,0.035,0.025,FAIL
52,0.0,0.035,0.025,FAIL
53,0.0,0.035,0.025,FAIL
54,0.0,0.035,0.025,FAIL
55,0.0,0.035,0.025,FAIL
56,0.0,0.035,0.025,FAIL
57,0.0,0.035,0.025,FAIL
58,0.0,0.035,0.025,FAIL
59,0.0,0.035,0.025,FAIL
60,0.0,0.035,0.025,FAIL
61,0.0,0.035,0.025,FAIL
62,0.0,0.035,0.025,FAIL
63,0.0,0.035,0.025,FAIL
64,0.0,0.035,0.025,FAIL
65,0.0,0.035,0.025,FAIL
66,0.0,0.035,0.025,FAIL
67,0.0,0.035,0.025,FAIL
68,0.0,0.035,0.025,FAIL
69,0.0,0.035,0.025,FAIL
70,0.0,0.035,0.025,FAIL
71,0.0,0.035,0.025,FAIL
72,0.0,0.035,0.025,FAIL
73,0.0,0.035,0.025,FAIL
74,0.0,0.035,0.025,FAIL
75,0.0,0.035,0.025,FAIL
76,0.0,0.035,0.025,FAIL
77,0.0,0.035,0.025,FAIL
78,0.0,0.035,0.025,FAIL
79,0.0,0.035,0.025,FAIL
80,0.0,0.035,0.025,FAIL
81,0.0,0.035,0.025,FAIL
82,0.0,0.035,0.025,FAIL
83,0.0,0.035,0.025,FAIL
84,0.0,0.035,0.025,FAIL
85,0.0,0.035,0.025,FAIL
86,0.0,0.035,0.025,FAIL
87,0.0,0.035,0.025,FAIL
88,0.0,0.035,0.025,FAIL
89,0.0,0.035,0.025,FAIL
90,0.0,0.035,0.025,FAIL
91,0.0,0.035,0.025,FAIL
92,0.0,0.035,0.025,FAIL
93,0.0,0.035,0.025,FAIL
94,0.0,0.035,0.025,FAIL
95,0.0,0.035,0.025,FAIL
96,0.0,0.035,0.025,FAIL
97,0.0,0.035,0.025,FAIL
98,0.0,0.035,0.025,FAIL
99,0.0,0.035,0.025,FAIL
