step,global_C,corridor,entropy,phase_mismatch,status
0,-0.025,0.025,0.015,0.04,FAIL
1,-0.05,0.025,0.015,0.04,FAIL
2,-0.07500000000000001,0.025,0.015,0.04,FAIL
3,-0.1,0.025,0.015,0.04,FAIL
4,-0.125,0.025,0.015,0.04,FAIL
5,-0.15,0.025,0.015,0.04,FAIL
6,-0.14,0.025,0.015,0.04,FAIL
7,-0.14,0.025,0.015,0.04,FAIL
8,-0.14,0.025,0.015,0.04,FAIL
9,-0.14,0.025,0.015,0.04,FAIL
10,-0.14,0.025,0.015,0.04,FAIL
11,-0.14,0.025,0.015,0.04,FAIL
12,-0.14,0.025,0.015,0.04,FAIL
13,-0.14,0.025,0.015,0.04,FAIL
14,-0.14,0.025,0.015,0.04,FAIL
15,-0.14,0.025,0.015,0.04,FAIL
16,-0.14,0.025,0.015,0.04,FAIL
17,-0.14,0.025,0.015,0.04,FAIL
18,-0.14,0.025,0.015,0.04,FAIL
19,-0.14,0.025,0.015,0.04,FAIL
20,-0.14,0.025,0.015,0.04,FAIL
21,-0.14,0.025,0.015,0.04,FAIL
22,-0.14,0.025,0.015,0.04,FAIL
23,-0.14,0.025,0.015,0.04,FAIL
24,-0.14,0.025,0.015,0.04,FAIL
25,-0.14,0.025,0.015,0.04,FAIL
26,-0.14,0.025,0.015,0.04,FAIL
27,-0.14,0.025,0.015,0.04,FAIL
28,-0.14,0.025,0.015,0.04,FAIL
29,-0.14,0.025,0.015,0.04,FAIL
30,-0.14,0.025,0.015,0.04,FAIL
31,-0.14,0.025,0.015,0.04,FAIL
32,-0.14,0.025,0.015,0.04,FAIL
33,-0.14,0.025,0.015,0.04,FAIL
34,-0.14,0.025,0.015,0.04,FAIL
35,-0.14,0.025,0.015,0.04,FAIL
36,-0.14,0.025,0.015,0.04,FAIL
37,-0.14,0.025,0.015,0.04,FAIL
38,-0.14,0.025,0.015,0.04,FAIL
39,-0.14,0.025,0.015,0.04,FAIL
40,-0.14,0.025,0.015,0.04,FAIL
41,-0.14,0.025,0.015,0.04,FAIL
42,-0.14,0.025,0.015,0.04,FAIL
43,-0.14,0.025,0.015,0.04,FAIL
44,-0.14,0.025,0.015,0.04,FAIL
45,-0.14,0.025,0.015,0.04,FAIL
46,-0.14,0.025,0.015,0.04,FAIL
47,-0.14,0.025,0.015,0.04,FAIL
48,-0.14,0.025,0.015,0.04,FAIL
49,-0.14,0.025,0.015,0.04,FAIL
