step,global_C,attractor_bias,corridor,phase_lock,entropy,scatter,status
0,0.4999999999999999,0.18,0.12,0.08,0.025,0.015,FAIL
1,0.8399999999999999,0.18,0.12,0.08,0.025,0.015,PASS
2,1.0,0.18,0.12,0.08,0.025,0.015,PASS
3,1.0,0.18,0.12,0.08,0.025,0.015,PASS
4,1.0,0.18,0.12,0.08,0.025,0.015,PASS
5,1.0,0.18,0.12,0.08,0.025,0.015,PASS
6,1.0,0.18,0.12,0.08,0.025,0.015,PASS
7,1.0,0.18,0.12,0.08,0.025,0.015,PASS
8,1.0,0.18,0.12,0.08,0.025,0.015,PASS
9,1.0,0.18,0.12,0.08,0.025,0.015,PASS
10,1.0,0.18,0.12,0.08,0.025,0.015,PASS
11,1.0,0.18,0.12,0.08,0.025,0.015,PASS
12,1.0,0.18,0.12,0.08,0.025,0.015,PASS
13,1.0,0.18,0.12,0.08,0.025,0.015,PASS
14,1.0,0.18,0.12,0.08,0.025,0.015,PASS
15,1.0,0.18,0.12,0.08,0.025,0.015,PASS
16,1.0,0.18,0.12,0.08,0.025,0.015,PASS
17,1.0,0.18,0.12,0.08,0.025,0.015,PASS
18,1.0,0.18,0.12,0.08,0.025,0.015,PASS
19,1.0,0.18,0.12,0.08,0.025,0.015,PASS
20,1.0,0.18,0.12,0.08,0.025,0.015,PASS
21,1.0,0.18,0.12,0.08,0.025,0.015,PASS
22,1.0,0.18,0.12,0.08,0.025,0.015,PASS
23,1.0,0.18,0.12,0.08,0.025,0.015,PASS
24,1.0,0.18,0.12,0.08,0.025,0.015,PASS
25,1.0,0.18,0.12,0.08,0.025,0.015,PASS
26,1.0,0.18,0.12,0.08,0.025,0.015,PASS
27,1.0,0.18,0.12,0.08,0.025,0.015,PASS
28,1.0,0.18,0.12,0.08,0.025,0.015,PASS
29,1.0,0.18,0.12,0.08,0.025,0.015,PASS
30,1.0,0.18,0.12,0.08,0.025,0.015,PASS
31,1.0,0.18,0.12,0.08,0.025,0.015,PASS
32,1.0,0.18,0.12,0.08,0.025,0.015,PASS
33,1.0,0.18,0.12,0.08,0.025,0.015,PASS
34,1.0,0.18,0.12,0.08,0.025,0.015,PASS
35,1.0,0.18,0.12,0.08,0.025,0.015,PASS
36,1.0,0.18,0.12,0.08,0.025,0.015,PASS
37,1.0,0.18,0.12,0.08,0.025,0.015,PASS
38,1.0,0.18,0.12,0.08,0.025,0.015,PASS
39,1.0,0.18,0.12,0.08,0.025,0.015,PASS
40,1.0,0.18,0.12,0.08,0.025,0.015,PASS
41,1.0,0.18,0.12,0.08,0.025,0.015,PASS
42,1.0,0.18,0.12,0.08,0.025,0.015,PASS
43,1.0,0.18,0.12,0.08,0.025,0.015,PASS
44,1.0,0.18,0.12,0.08,0.025,0.015,PASS
45,1.0,0.18,0.12,0.08,0.025,0.015,PASS
46,1.0,0.18,0.12,0.08,0.025,0.015,PASS
47,1.0,0.18,0.12,0.08,0.025,0.015,PASS
48,1.0,0.18,0.12,0.08,0.025,0.015,PASS
49,1.0,0.18,0.12,0.08,0.025,0.015,PASS
50,1.0,0.18,0.12,0.08,0.025,0.015,PASS
51,1.0,0.18,0.12,0.08,0.025,0.015,PASS
52,1.0,0.18,0.12,0.08,0.025,0.015,PASS
53,1.0,0.18,0.12,0.08,0.025,0.015,PASS
54,1.0,0.18,0.12,0.08,0.025,0.015,PASS
55,1.0,0.18,0.12,0.08,0.025,0.015,PASS
56,1.0,0.18,0.12,0.08,0.025,0.015,PASS
57,1.0,0.18,0.12,0.08,0.025,0.015,PASS
58,1.0,0.18,0.12,0.08,0.025,0.015,PASS
59,1.0,0.18,0.12,0.08,0.025,0.015,PASS
60,1.0,0.18,0.12,0.08,0.025,0.015,PASS
61,1.0,0.18,0.12,0.08,0.025,0.015,PASS
62,1.0,0.18,0.12,0.08,0.025,0.015,PASS
63,1.0,0.18,0.12,0.08,0.025,0.015,PASS
64,1.0,0.18,0.12,0.08,0.025,0.015,PASS
65,1.0,0.18,0.12,0.08,0.025,0.015,PASS
66,1.0,0.18,0.12,0.08,0.025,0.015,PASS
67,1.0,0.18,0.12,0.08,0.025,0.015,PASS
68,1.0,0.18,0.12,0.08,0.025,0.015,PASS
69,1.0,0.18,0.12,0.08,0.025,0.015,PASS
70,1.0,0.18,0.12,0.08,0.025,0.015,PASS
71,1.0,0.18,0.12,0.08,0.025,0.015,PASS
72,1.0,0.18,0.12,0.08,0.025,0.015,PASS
73,1.0,0.18,0.12,0.08,0.025,0.015,PASS
74,1.0,0.18,0.12,0.08,0.025,0.015,PASS
75,1.0,0.18,0.12,0.08,0.025,0.015,PASS
76,1.0,0.18,0.12,0.08,0.025,0.015,PASS
77,1.0,0.18,0.12,0.08,0.025,0.015,PASS
78,1.0,0.18,0.12,0.08,0.025,0.015,PASS
79,1.0,0.18,0.12,0.08,0.025,0.015,PASS
80,1.0,0.18,0.12,0.08,0.025,0.015,PASS
81,1.0,0.18,0.12,0.08,0.025,0.015,PASS
82,1.0,0.18,0.12,0.08,0.025,0.015,PASS
83,1.0,0.18,0.12,0.08,0.025,0.015,PASS
84,1.0,0.18,0.12,0.08,0.025,0.015,PASS
85,1.0,0.18,0.12,0.08,0.025,0.015,PASS
86,1.0,0.18,0.12,0.08,0.025,0.015,PASS
87,1.0,0.18,0.12,0.08,0.025,0.015,PASS
88,1.0,0.18,0.12,0.08,0.025,0.015,PASS
89,1.0,0.18,0.12,0.08,0.025,0.015,PASS
90,1.0,0.18,0.12,0.08,0.025,0.015,PASS
91,1.0,0.18,0.12,0.08,0.025,0.015,PASS
92,1.0,0.18,0.12,0.08,0.025,0.015,PASS
93,1.0,0.18,0.12,0.08,0.025,0.015,PASS
94,1.0,0.18,0.12,0.08,0.025,0.015,PASS
95,1.0,0.18,0.12,0.08,0.025,0.015,PASS
96,1.0,0.18,0.12,0.08,0.025,0.015,PASS
97,1.0,0.18,0.12,0.08,0.025,0.015,PASS
98,1.0,0.18,0.12,0.08,0.025,0.015,PASS
99,1.0,0.18,0.12,0.08,0.025,0.015,PASS
